game_id,team_id,player_id,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100301,1610612738,1629057,85.71,75.0,0,6,6,0,1,2,0,7,8,0
g0042100301,1610612748,1629216,100.0,66.67,42.86,4,2,3,0,1,4,4,3,7
g0042100301,1610612738,1628464,0,80.0,0,0,4,0,0,1,0,0,5,0
g0042100301,1610612748,1629622,0,100.0,37.5,0,1,3,0,0,5,0,1,8
g0042100301,1610612748,1628997,0,50.0,50.0,0,1,1,0,1,1,0,2,2
g0042100301,1610612748,1629639,100.0,60.0,20.0,3,6,1,0,4,4,3,10,5
g0042100301,1610612748,200782,0.0,50.0,33.33,0,1,1,2,1,2,2,2,3
g0042100301,1610612738,1628369,77.78,66.67,22.22,7,8,2,2,4,7,9,12,9
g0042100301,1610612748,203473,100.0,50.0,0.0,2,2,0,0,2,1,2,4,1
g0042100301,1610612748,202710,94.44,70.59,0.0,17,12,0,1,5,2,18,17,2
g0042100301,1610612738,1630174,0,0,0.0,0,0,0,0,0,3,0,0,3
g0042100301,1610612748,1628389,80.0,75.0,0,4,3,0,1,1,0,5,4,0
g0042100301,1610612738,1627759,60.0,33.33,50.0,6,3,4,4,6,4,10,9,8
g0042100301,1610612738,1628401,50.0,33.33,0.0,1,1,0,1,2,1,2,3,1
g0042100301,1610612748,203506,0,14.29,50.0,0,1,1,0,6,1,0,7,2
g0042100301,1610612738,1629684,100.0,33.33,50.0,2,1,1,0,2,1,2,3,2
g0042100301,1610612738,1630202,100.0,40.0,36.36,2,2,4,0,3,7,2,5,11
g0042100302,1610612738,1629057,100.0,66.67,0,1,2,0,0,1,0,1,3,0
g0042100302,1610612748,1630209,0,33.33,0,0,1,0,0,2,0,0,3,0
g0042100302,1610612748,1629312,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100302,1610612738,203917,0,0.0,50.0,0,0,1,0,1,1,0,1,2
g0042100302,1610612738,1628436,0,50.0,0,0,1,0,0,1,0,0,2,0
g0042100302,1610612738,203935,100.0,30.0,41.67,3,3,5,0,7,7,3,10,12
g0042100302,1610612748,1629216,0,50.0,50.0,0,1,4,0,1,4,0,2,8
g0042100302,1610612738,1628464,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100302,1610612748,1629622,0,0,28.57,0,0,2,0,0,5,0,0,7
g0042100302,1610612738,201143,0,100.0,100.0,0,2,2,0,0,0,0,2,2
g0042100302,1610612738,1629752,50.0,0,0.0,1,0,0,1,0,1,2,0,1
g0042100302,1610612748,1628997,0,33.33,50.0,0,2,1,0,4,1,0,6,2
g0042100302,1610612748,1629639,100.0,62.5,0.0,1,5,0,0,3,3,1,8,3
g0042100302,1610612748,1629130,0,100.0,0.0,0,3,0,0,0,4,0,3,4
g0042100302,1610612748,200782,0.0,20.0,100.0,0,1,1,2,4,0,2,5,1
g0042100302,1610612738,1628369,100.0,57.14,66.67,7,4,4,0,3,2,7,7,6
g0042100302,1610612748,203473,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100302,1610612748,202710,75.0,66.67,33.33,6,10,1,2,5,2,8,15,3
g0042100302,1610612738,1630174,0,0.0,0.0,0,0,0,0,1,2,0,1,2
g0042100302,1610612748,1628389,0.0,50.0,0,0,3,0,1,3,0,1,6,0
g0042100302,1610612738,1627759,100.0,50.0,57.14,2,5,4,0,5,3,2,10,7
g0042100302,1610612748,203506,90.0,33.33,20.0,9,1,1,1,2,4,10,3,5
g0042100302,1610612738,1629684,87.5,60.0,100.0,7,3,2,1,2,0,8,5,2
g0042100302,1610612738,1630202,0,100.0,33.33,0,2,2,0,0,4,0,2,6
g0042100303,1610612738,203917,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100303,1610612738,203935,60.0,71.43,25.0,3,5,1,2,2,3,5,7,4
g0042100303,1610612748,1629216,0,0.0,50.0,0,0,1,0,2,1,0,2,2
g0042100303,1610612738,1628464,50.0,0,0,1,0,0,1,0,0,2,0,0
g0042100303,1610612748,1629622,0,40.0,57.14,0,2,4,0,3,3,0,5,7
g0042100303,1610612738,201143,100.0,44.44,60.0,3,4,3,0,5,2,3,9,5
g0042100303,1610612748,200768,100.0,50.0,28.57,1,2,2,0,2,5,1,4,7
g0042100303,1610612748,1628997,100.0,100.0,50.0,1,2,1,0,0,1,1,2,2
g0042100303,1610612748,1629639,0,44.44,0.0,0,4,0,0,5,6,0,9,6
g0042100303,1610612748,1629130,0,100.0,0.0,0,1,0,0,0,1,0,1,1
g0042100303,1610612748,200782,100.0,50.0,50.0,4,2,3,0,2,3,4,4,6
g0042100303,1610612738,1628369,75.0,28.57,14.29,3,2,1,1,5,6,4,7,7
g0042100303,1610612748,202710,100.0,37.5,0,2,3,0,0,5,0,2,8,0
g0042100303,1610612738,1630174,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100303,1610612748,1628389,100.0,71.43,0.0,1,15,0,0,6,1,1,21,1
g0042100303,1610612738,1627759,75.0,100.0,33.33,9,11,3,3,0,6,12,11,9
g0042100303,1610612738,1628401,0,0.0,0,0,0,0,0,2,0,0,2,0
g0042100303,1610612748,203506,60.0,33.33,0.0,3,1,0,2,2,1,5,3,1
g0042100303,1610612738,1629684,100.0,0.0,50.0,4,0,2,0,2,2,4,2,4
g0042100303,1610612738,1630202,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100304,1610612738,1629057,100.0,80.0,0,4,4,0,0,1,0,4,5,0
g0042100304,1610612748,1630209,0,50.0,0,0,1,0,0,1,0,0,2,0
g0042100304,1610612748,1629312,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100304,1610612738,203917,100.0,0,0,2,0,0,0,0,0,2,0,0
g0042100304,1610612748,1629216,0,0.0,40.0,0,0,2,0,5,3,0,5,5
g0042100304,1610612738,1628464,0,66.67,0,0,2,0,0,1,0,0,3,0
g0042100304,1610612748,1629622,0,0.0,0.0,0,0,0,0,3,4,0,3,4
g0042100304,1610612738,201143,100.0,0.0,100.0,2,0,1,0,1,0,2,1,1
g0042100304,1610612748,200768,0,0.0,33.33,0,0,1,0,3,2,0,3,3
g0042100304,1610612748,1628997,0.0,60.0,40.0,0,3,2,1,2,3,1,5,5
g0042100304,1610612748,1629130,0,33.33,50.0,0,1,4,0,2,4,0,3,8
g0042100304,1610612748,200782,0,0.0,0.0,0,0,0,0,3,1,0,3,1
g0042100304,1610612738,1628369,87.5,77.78,14.29,14,7,1,2,2,6,16,9,7
g0042100304,1610612748,203473,0,66.67,100.0,0,2,1,0,1,0,0,3,1
g0042100304,1610612748,202710,0,25.0,0.0,0,3,0,0,9,2,0,12,2
g0042100304,1610612738,1630174,0,100.0,0.0,0,1,0,0,0,1,0,1,1
g0042100304,1610612748,1628389,60.0,60.0,0,3,3,0,2,2,0,5,5,0
g0042100304,1610612738,1627759,50.0,28.57,16.67,1,4,1,1,10,5,2,14,6
g0042100304,1610612738,1628401,66.67,50.0,12.5,4,3,1,2,3,7,6,6,8
g0042100304,1610612748,203506,62.5,33.33,57.14,5,3,4,3,6,3,8,9,7
g0042100304,1610612738,1629684,100.0,0.0,20.0,4,0,1,0,3,4,4,3,5
g0042100304,1610612738,1630202,50.0,100.0,50.0,1,2,3,1,0,3,2,2,6
g0042100305,1610612738,1629057,100.0,100.0,0,2,2,0,0,0,0,2,2,0
g0042100305,1610612748,1630209,0,100.0,0,0,1,0,0,0,0,0,1,0
g0042100305,1610612738,203917,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100305,1610612738,203935,100.0,0.0,33.33,2,0,1,0,2,2,2,2,3
g0042100305,1610612748,1629216,100.0,100.0,14.29,2,5,1,0,0,6,2,5,7
g0042100305,1610612748,1629622,100.0,0.0,0.0,4,0,0,0,2,7,4,2,7
g0042100305,1610612738,201143,71.43,80.0,33.33,5,4,1,2,1,2,7,5,3
g0042100305,1610612748,200768,0,0.0,0.0,0,0,0,0,1,5,0,1,5
g0042100305,1610612748,1628997,0,50.0,33.33,0,2,1,0,2,2,0,4,3
g0042100305,1610612748,1629130,0,50.0,30.0,0,1,3,0,1,7,0,2,10
g0042100305,1610612748,200782,0,100.0,20.0,0,2,1,0,0,4,0,2,5
g0042100305,1610612738,1628369,75.0,41.67,25.0,6,5,2,2,7,6,8,12,8
g0042100305,1610612748,202710,100.0,23.08,20.0,4,3,1,0,10,4,4,13,5
g0042100305,1610612748,1628389,100.0,53.33,0,2,8,0,0,7,0,2,15,0
g0042100305,1610612738,1627759,0.0,50.0,55.56,0,5,5,1,5,4,1,10,9
g0042100305,1610612738,1628401,66.67,100.0,0.0,2,6,0,1,0,2,3,6,2
g0042100305,1610612748,203506,50.0,25.0,0.0,1,1,0,1,3,3,2,4,3
g0042100305,1610612738,1629684,0,100.0,25.0,0,1,1,0,0,3,0,1,4
g0042100305,1610612738,1630202,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100306,1610612738,1629057,100.0,71.43,0,2,5,0,0,2,0,2,7,0
g0042100306,1610612738,203935,100.0,50.0,11.11,5,3,1,0,3,8,5,6,9
g0042100306,1610612748,1629216,100.0,0,0.0,2,0,0,0,0,2,2,0,2
g0042100306,1610612748,1629622,0,50.0,37.5,0,2,3,0,2,5,0,4,8
g0042100306,1610612738,201143,0,0.0,16.67,0,0,1,0,2,5,0,2,6
g0042100306,1610612748,200768,100.0,20.0,44.44,4,1,4,0,4,5,4,5,9
g0042100306,1610612748,1628997,0,33.33,100.0,0,1,1,0,2,0,0,3,1
g0042100306,1610612748,1629130,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100306,1610612748,200782,75.0,50.0,100.0,3,1,2,1,1,0,4,2,2
g0042100306,1610612738,1628369,100.0,100.0,57.14,8,5,4,0,0,3,8,5,7
g0042100306,1610612748,202710,100.0,57.14,50.0,11,12,4,0,9,4,11,21,8
g0042100306,1610612748,1628389,0,50.0,0,0,3,0,0,3,0,0,6,0
g0042100306,1610612738,1627759,77.78,50.0,33.33,7,5,1,2,5,2,9,10,3
g0042100306,1610612738,1628401,80.0,42.86,57.14,4,3,4,1,4,3,5,7,7
g0042100306,1610612748,203506,100.0,50.0,25.0,4,1,1,0,1,3,4,2,4
g0042100306,1610612738,1629684,100.0,0.0,0,2,0,0,0,2,0,2,2,0
g0042100306,1610612738,1630202,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100307,1610612738,1629057,100.0,0.0,0,2,0,0,0,2,0,2,2,0
g0042100307,1610612738,203935,83.33,41.67,30.0,5,5,3,1,7,7,6,12,10
g0042100307,1610612748,1629216,100.0,0.0,33.33,1,0,1,0,1,2,1,1,3
g0042100307,1610612748,1629622,0,33.33,28.57,0,1,2,0,2,5,0,3,7
g0042100307,1610612738,201143,0,33.33,16.67,0,1,1,0,2,5,0,3,6
g0042100307,1610612748,200768,66.67,50.0,16.67,6,3,1,3,3,5,9,6,6
g0042100307,1610612748,1629639,0,0.0,0.0,0,0,0,0,1,1,0,1,1
g0042100307,1610612748,200782,0,0.0,0.0,0,0,0,0,1,2,0,1,2
g0042100307,1610612738,1628369,80.0,35.71,57.14,4,5,4,1,9,3,5,14,7
g0042100307,1610612748,202710,72.73,60.0,25.0,8,12,1,3,8,3,11,20,4
g0042100307,1610612748,1628389,33.33,57.14,0,1,12,0,2,9,0,3,21,0
g0042100307,1610612738,1627759,87.5,70.0,20.0,7,7,1,1,3,4,8,10,5
g0042100307,1610612738,1628401,0,20.0,66.67,0,1,2,0,4,1,0,5,3
g0042100307,1610612748,203506,0,60.0,14.29,0,3,1,0,2,6,0,5,7
g0042100307,1610612738,1629684,33.33,71.43,0.0,1,5,0,2,2,1,3,7,1
g0042100311,1610612742,1628425,0,66.67,0.0,0,2,0,0,1,1,0,3,1
g0042100311,1610612742,203915,80.0,50.0,42.86,4,2,3,1,2,4,5,4,7
g0042100311,1610612744,1630228,100.0,0.0,0,2,0,0,0,4,0,2,4,0
g0042100311,1610612742,203939,50.0,50.0,0,1,1,0,1,1,0,2,2,0
g0042100311,1610612744,1627814,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100311,1610612742,1628973,50.0,54.55,0.0,2,6,0,2,5,5,4,11,5
g0042100311,1610612744,203952,0.0,55.56,37.5,0,5,3,2,4,5,2,9,8
g0042100311,1610612742,1627827,0,33.33,33.33,0,1,1,0,2,2,0,3,3
g0042100311,1610612742,1628467,0,0,25.0,0,0,1,0,0,3,0,0,4
g0042100311,1610612744,1626172,0,100.0,0,0,5,0,0,0,0,0,5,0
g0042100311,1610612744,202691,0,66.67,25.0,0,6,1,0,3,3,0,9,4
g0042100311,1610612744,1630541,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100311,1610612744,201939,57.14,57.14,33.33,4,4,3,3,3,6,7,7,9
g0042100311,1610612742,1628373,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100311,1610612744,203490,0,83.33,0.0,0,5,0,0,1,1,0,6,1
g0042100311,1610612742,202722,0,0,0.0,0,0,0,0,0,4,0,0,4
g0042100311,1610612742,1629029,62.5,37.5,30.0,5,3,3,3,5,7,8,8,10
g0042100311,1610612744,203110,66.67,80.0,0.0,2,4,0,1,1,1,3,5,1
g0042100311,1610612742,203493,100.0,50.0,30.0,1,1,3,0,1,7,1,2,10
g0042100311,1610612742,1630182,0,50.0,0.0,0,1,0,0,1,1,0,2,1
g0042100311,1610612744,1629673,100.0,87.5,25.0,2,7,1,0,1,3,2,8,4
g0042100311,1610612742,203504,100.0,100.0,0.0,1,3,0,0,0,1,1,3,1
g0042100312,1610612742,203915,0,50.0,0.0,0,2,0,0,2,2,0,4,2
g0042100312,1610612742,203939,0,0.0,0,0,0,0,0,1,0,0,1,0
g0042100312,1610612744,1627814,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100312,1610612742,1628973,66.67,50.0,71.43,4,6,5,2,6,2,6,12,7
g0042100312,1610612744,203952,50.0,22.22,60.0,3,2,3,3,7,2,6,9,5
g0042100312,1610612742,1627827,25.0,0,50.0,1,0,3,3,0,3,4,0,6
g0042100312,1610612742,1628467,0,0,20.0,0,0,1,0,0,4,0,0,5
g0042100312,1610612744,1626172,100.0,71.43,0,1,10,0,0,4,0,1,14,0
